Reseller Top Parent Name;OrgID;Org als Text;Unique Name (Masterlist)
Saturn Elektro-Handels-GmbH;22025038;22025038;Saturn Lübeck – Dänischburg
Saturn Elektro-Handels-GmbH;202101;202101;Saturn Lüdenscheid Stern-Center
Saturn Elektro-Handels-GmbH;2830929;2830929;Saturn Ludwigsburg
Saturn Elektro-Handels-GmbH;8496209;8496209;Saturn Ludwigshafen
Saturn Elektro-Handels-GmbH;5427149;5427149;Saturn Lünen
Saturn Elektro-Handels-GmbH;2435047;2435047;Saturn Magdeburg
Saturn Elektro-Handels-GmbH;66798;66798;Saturn Mainz
Saturn Elektro-Handels-GmbH;5435517;5435517;Saturn Mannheim
Saturn Elektro-Handels-GmbH;11962346;11962346;Saturn Marl
Saturn Elektro-Handels-GmbH;6861078;6861078;Saturn Moers
Saturn Elektro-Handels-GmbH;335099;335099;Saturn Mönchengladbach - Stresemannstraße
Saturn Elektro-Handels-GmbH;3001451;3001451;Saturn Mühlheim RheinRuhrZentrum
Media Markt GmbH;58141003;58141003;Saturn Müllheim
Saturn Elektro-Handels-GmbH;54699317;54699317;Saturn Müllheim
Saturn Elektro-Handels-GmbH;45807289;45807289;Saturn Müllheim
Saturn Elektro-Handels-GmbH;4686663;4686663;Saturn München IV
Saturn Elektro-Handels-GmbH;7784664;7784664;Saturn München Riem
Saturn Elektro-Handels-GmbH;14843983;14843983;Saturn München Theresienhöhe
Saturn Elektro-Handels-GmbH;65433;65433;Saturn München/OEZ
Saturn Elektro-Handels-GmbH;5088716;5088716;Saturn München/PEP
Saturn Elektro-Handels-GmbH;10768654;10768654;Saturn Münster 2 Arkaden
Saturn Elektro-Handels-GmbH;7994374;7994374;Saturn Münster am York-Ring
Saturn Elektro-Handels-GmbH;10675854;10675854;Saturn Neckarsulm
Saturn Elektro-Handels-GmbH;5619660;5619660;Saturn Neu-Isenburg
Saturn Elektro-Handels-GmbH;335101;335101;Saturn Neuss
Saturn Elektro-Handels-GmbH;398886;398886;Saturn Nürnberg
Saturn Elektro-Handels-GmbH;8459022;8459022;Saturn Oberhausen
Saturn Elektro-Handels-GmbH;25174924;25174924;Saturn Offenbach 2
Saturn Elektro-Handels-GmbH;8496207;8496207;Saturn Oldenburg
Saturn Elektro-Handels-GmbH;8384510;8384510;Saturn Osnabrück
Saturn Elektro-Handels-GmbH;19448653;19448653;Saturn Paderborn
Saturn Elektro-Handels-GmbH;13060564;13060564;Saturn Passau
Saturn Elektro-Handels-GmbH;2521007;2521007;Saturn Pforzheim
Saturn Elektro-Handels-GmbH;20741026;20741026;Saturn Potsdam
Saturn Elektro-Handels-GmbH;7320994;7320994;Saturn Regensburg
Saturn Elektro-Handels-GmbH;801197;801197;Saturn Remscheid
Saturn Elektro-Handels-GmbH;2867966;2867966;Saturn Reutlingen
Saturn Elektro-Handels-GmbH;6100372;6100372;Saturn Rostock
Saturn Elektro-Handels-GmbH;8535944;8535944;Saturn Saarbrücken
Saturn Elektro-Handels-GmbH;3410784;3410784;Saturn Schweinfurt Schrammstraße
Saturn Elektro-Handels-GmbH;4081720;4081720;Saturn Siegburg
Saturn Elektro-Handels-GmbH;2483728;2483728;Saturn Siegen
Media Markt GmbH;16310952;16310952;Saturn Siegen
Saturn Elektro-Handels-GmbH;3295547;3295547;Saturn Solingen
Saturn Elektro-Handels-GmbH;335146;335146;Saturn St. Augustin
Saturn Elektro-Handels-GmbH;10101883;10101883;Saturn Stuttgart
Saturn Elektro-Handels-GmbH;42342386;42342386;Saturn Stuttgart-Hbf
Media Markt GmbH;4259915;4259915;Saturn Stuttgart-Hbf
Saturn Elektro-Handels-GmbH;203553;203553;Saturn Trier
Saturn Elektro-Handels-GmbH;20343163;20343163;Saturn Troisdorf
Saturn Elektro-Handels-GmbH;7307566;7307566;Saturn Tübingen
Media Markt GmbH;2991474;2991474;Media Markt Webshop
Saturn Elektro-Handels-GmbH;20726134;20726134;Saturn Webshop
Saturn Elektro-Handels-GmbH;40302433;40302433;Saturn Webshop
Saturn Elektro-Handels-GmbH;9687560;9687560;Saturn Weimar
Saturn Elektro-Handels-GmbH;14049319;14049319;Saturn Weiterstadt
Saturn Elektro-Handels-GmbH;7320958;7320958;Saturn Wesel
Saturn Elektro-Handels-GmbH;17237079;17237079;Saturn Wiesbaden
Saturn Elektro-Handels-GmbH;11267751;11267751;Saturn Wiesbaden Bahnhofsplatz
Saturn Elektro-Handels-GmbH;4715327;4715327;Saturn Witten
Saturn Elektro-Handels-GmbH;5491417;5491417;Saturn Wolfsburg City Galerie
Saturn Elektro-Handels-GmbH;67518;67518;Saturn Wuppertal-Elberfeld
Saturn Elektro-Handels-GmbH;8142415;8142415;Saturn Zwickau
Saturn Elektro-Handels-GmbH;13043273;13043273;Saturn-Berlin Clayallee
Media Markt GmbH;87789427;87789427;Antalya
