Sales Date,Business Unit,Discount_amount,promos
2021-07-26,Surface Laptop,266,2
2021-07-27,Surface Laptop,266,2
2021-07-28,Surface Laptop,266,2
2021-07-29,Surface Laptop,266,2
2021-07-30,Surface Laptop,266,2
2021-07-31,Surface Laptop,266,2
2021-08-01,Surface Laptop,266,2
2021-08-02,Surface Laptop,266,2
2021-08-03,Surface Laptop,266,2
2021-08-04,Surface Laptop,266,2
2021-08-05,Surface Laptop,266,2
2021-08-06,Surface Laptop,266,2
2021-08-07,Surface Laptop,266,2
2021-08-08,Surface Laptop,266,2
2021-08-09,Surface Laptop,266,2
2021-08-10,Surface Laptop,266,2
2021-08-11,Surface Laptop,266,2
2021-08-12,Surface Laptop,266,2
2021-08-13,Surface Laptop,266,2
2021-08-14,Surface Laptop,266,2
2021-08-15,Surface Laptop,266,2
2021-08-16,Surface Laptop,266,2
2021-08-17,Surface Laptop,266,2
2021-08-18,Surface Laptop,266,2
2021-08-19,Surface Laptop,266,2
2021-08-20,Surface Laptop,266,2
2021-08-21,Surface Laptop,266,2
2021-08-22,Surface Laptop,266,2
2021-08-23,Surface Laptop,266,2
2021-08-24,Surface Laptop,266,2
2021-08-25,Surface Laptop,266,2
2021-08-26,Surface Laptop,266,2
2021-08-27,Surface Laptop,266,2
2021-08-28,Surface Laptop,266,2
2021-08-29,Surface Laptop,266,2
2021-08-30,Surface Laptop,266,2
2021-08-31,Surface Laptop,266,2
2021-09-01,Surface Laptop,266,2
2021-09-02,Surface Laptop,266,2
2021-09-03,Surface Laptop,266,2
2021-09-04,Surface Laptop,266,2
2021-09-05,Surface Laptop,266,2
2021-09-06,Surface Laptop,266,2
2021-09-07,Surface Laptop,266,2
2021-09-08,Surface Laptop,266,2
2021-09-09,Surface Laptop,266,2
2021-09-10,Surface Laptop,266,2
2021-09-11,Surface Laptop,266,2
2021-09-12,Surface Laptop,266,2
2021-09-13,Surface Laptop,266,2
2021-09-14,Surface Laptop,266,2
2021-09-15,Surface Laptop,266,2
2021-09-16,Surface Laptop,266,2
2021-09-17,Surface Laptop,266,2
2021-09-18,Surface Laptop,266,2
2021-09-19,Surface Laptop,266,2
2020-01-13,Surface Book,504,2
2020-01-14,Surface Book,504,2
2020-01-15,Surface Book,504,2
2020-01-16,Surface Book,504,2
2020-01-17,Surface Book,504,2
2020-01-18,Surface Book,504,2
2020-01-19,Surface Book,504,2
2020-01-20,Surface Book,504,2
2020-01-21,Surface Book,504,2
2020-01-22,Surface Book,504,2
2020-01-23,Surface Book,504,2
2020-01-24,Surface Book,504,2
2020-01-25,Surface Book,504,2
2020-01-26,Surface Book,504,2
2020-01-27,Surface Book,504,2
2020-01-28,Surface Book,504,2
2020-01-29,Surface Book,504,2
2020-01-30,Surface Book,504,2
2020-01-31,Surface Book,504,2
2020-02-01,Surface Book,504,2
2020-02-02,Surface Book,504,2
2020-02-03,Surface Book,504,2
2020-02-04,Surface Book,504,2
2020-02-05,Surface Book,504,2
2020-02-06,Surface Book,504,2
2020-02-07,Surface Book,504,2
2020-02-08,Surface Book,504,2
2020-02-09,Surface Book,504,2
2020-02-10,Surface Book,504,2
2020-02-21,Surface Book,411,3
2020-02-22,Surface Book,411,3
2020-02-23,Surface Book,411,3
2020-03-04,Surface Book,578,2
2020-03-05,Surface Book,578,2
2020-03-06,Surface Book,578,2
2020-03-07,Surface Book,578,2
2020-03-08,Surface Book,578,2
2020-03-09,Surface Book,578,2
2020-03-10,Surface Book,578,2
2020-03-11,Surface Book,578,2
2020-03-12,Surface Book,578,2
2020-03-13,Surface Book,578,2
2020-03-14,Surface Book,578,2
2020-03-15,Surface Book,578,2
2020-03-16,Surface Book,473,3
2020-03-17,Surface Book,473,3
2020-03-18,Surface Book,473,3
2020-03-19,Surface Book,473,3
2020-03-20,Surface Book,473,3
2020-03-21,Surface Book,473,3
2020-03-22,Surface Book,473,3
2020-03-23,Surface Book,473,3
2020-03-24,Surface Book,473,3
2020-03-25,Surface Book,473,3
2020-03-26,Surface Book,473,3
2020-03-27,Surface Book,473,3
2020-03-28,Surface Book,473,3
2020-03-29,Surface Book,473,3
2020-03-30,Surface Book,473,3
2020-03-31,Surface Book,473,3
2020-04-01,Surface Book,473,3
2020-04-02,Surface Book,473,3
2020-04-03,Surface Book,473,3
2020-04-04,Surface Book,473,3
2020-04-05,Surface Book,473,3
2020-04-06,Surface Book,473,3
2020-04-07,Surface Book,473,3
2020-04-08,Surface Book,473,3
2020-04-09,Surface Book,473,3
2020-04-10,Surface Book,473,3
2020-04-11,Surface Book,473,3
2020-04-12,Surface Book,473,3
2020-04-13,Surface Book,473,3
2020-04-14,Surface Book,473,3
2020-04-15,Surface Book,473,3
2020-04-16,Surface Book,473,3
2020-04-17,Surface Book,473,3
2020-04-18,Surface Book,473,3
2020-04-19,Surface Book,473,3
2020-04-20,Surface Book,473,3
2020-04-21,Surface Book,473,3
2020-04-22,Surface Book,473,3
2020-04-23,Surface Book,473,3
2020-04-24,Surface Book,473,3
2020-04-25,Surface Book,473,3
2020-04-26,Surface Book,473,3
2020-04-27,Surface Book,473,3
2020-04-28,Surface Book,473,3
2020-04-29,Surface Book,473,3
2020-04-30,Surface Book,473,3
2020-05-01,Surface Book,473,3
2020-05-02,Surface Book,473,3
2020-05-03,Surface Book,473,3
2020-05-04,Surface Book,473,3
2020-05-05,Surface Book,473,3
2020-05-06,Surface Book,473,3
2020-05-07,Surface Book,473,3
2020-05-08,Surface Book,473,3
2020-05-09,Surface Book,473,3
2020-05-10,Surface Book,473,3
2020-05-11,Surface Book,473,3
2020-05-12,Surface Book,473,3
2020-05-13,Surface Book,473,3
2020-05-14,Surface Book,473,3
2020-05-15,Surface Book,473,3
2020-05-16,Surface Book,473,3
2020-05-17,Surface Book,473,3
2020-05-18,Surface Book,473,3
2020-05-19,Surface Book,473,3
2020-05-20,Surface Book,473,3
2020-05-21,Surface Book,473,3
2020-05-22,Surface Book,473,3
2020-05-23,Surface Book,473,3
2020-05-24,Surface Book,473,3
2020-05-25,Surface Book,473,3
2020-05-26,Surface Book,473,3
2020-05-27,Surface Book,473,3
2020-05-28,Surface Book,473,3
2020-05-29,Surface Book,473,3
2020-05-30,Surface Book,473,3
2020-05-31,Surface Book,473,3
2020-06-01,Surface Book,473,3
2020-06-02,Surface Book,473,3
2020-06-03,Surface Book,473,3
2020-06-04,Surface Book,473,3
2020-06-05,Surface Book,473,3
2020-06-06,Surface Book,473,3
2020-06-07,Surface Book,473,3
2020-06-08,Surface Book,473,3
2020-06-09,Surface Book,473,3
2020-06-10,Surface Book,473,3
2020-06-11,Surface Book,473,3
2020-06-12,Surface Book,473,3
